RNA023479,RNA023491,RNA023504,RNA023506,RNA023520,RNA023514,RNA023523,RNA023526,RNA023534,RNA023539,RNA023540,RNA023545,RNA023550,RNA023551,RNA023553,RNA023555,RNA023556,RNA023559,RNA023561,RNA023562,RNA023567,RNA023568,RNA023572,RNA023573,RNA023575,RNA023581,RNA023585,RNA023587,RNA023593,RNA023594,RNA023596,RNA023603,RNA023605,RNA023614,RNA023616,RNA023617,RNA023618,RNA023619,RNA023521,RNA022818,RNA022822,RNA022824,RNA022832,RNA022836,RNA022838,RNA022852,RNA022853,RNA022855,RNA022854,RNA022860,RNA022867,RNA022871,RNA022880,RNA022883,RNA022885,RNA022887,RNA022904,RNA022906,RNA022911,RNA022915,RNA022921,RNA022923,RNA022925,RNA022946,RNA022948,RNA022956,RNA022972,RNA022975,RNA022981,RNA022987,RNA022992,RNA022993,RNA022995,RNA023001,RNA023024,RNA023027,RNA023049,RNA023058,RNA023066,RNA023068,RNA023071,RNA023078,RNA023080,RNA023087,RNA023092,RNA023099,RNA023117,RNA023129,RNA023131,RNA023134,RNA023138,RNA023143,RNA023146,RNA023152,RNA023153,RNA023167,RNA023170,RNA023174,RNA023176,RNA023179,RNA023185,RNA023190,RNA023198,RNA023199,RNA023200,RNA023203,RNA023208,RNA023209,RNA023222,RNA023225,RNA023227,RNA023226,RNA023229,RNA023239,RNA023242,RNA023267,RNA023269,RNA023275,RNA023282,RNA023284,RNA023285,RNA023286,RNA023141,RNA023098,RNA023169,RNA023403,RNA023404,RNA023405,RNA023407,RNA023409,RNA023410,RNA023331,RNA023299,RNA023411,RNA023337,RNA023339,RNA023341,RNA023345,RNA023351,RNA023414,RNA023355,RNA023357,RNA023416,RNA023418,RNA023361,RNA023363,RNA023423,RNA023367,RNA023425,RNA023371,RNA023432,RNA023435,RNA023436,RNA023438,RNA023442,RNA023448,RNA023450,RNA023451,RNA023454,RNA023457,RNA023458,RNA023465,RNA023466,RNA023467,RNA023468,RNA023470,RNA023399,RNA023473,RNA023474,RNA023632,RNA023637,RNA023638,RNA023642,RNA023643
PPM1M,RHBDD1,GPKOW,,,,,ENOSF1,,,RAB3D,,POLR3F,RAB7A,GGA2,,RANBP3,PYCR2,,RBM38,,,,,,,PSMD9,,,,,,PRKACB,,,,,,,,PTMAP5,PSMA2,PLA2G12A,,GATA2,,,,,,,,,,,,YWHAQ,,,,,,,,PPP1CB,,,,,,,POC1B,,,,,,,,DHRS1,,GSTM3,,PALMD,,,ZNF609,PSMD9,PDGFB,PDLIM1,PTPRF,PPP3R1,UBXN11,GCH1,,RAC2,PTMAP2,,,,PANK3,PTTG1IP,,RHOBTB3,,PRTFDC1,,,,,PDLIM5,,,,PICALM,,,HBD,GAPT,,,GPS2,RAB31,ZNF609,PHYKPL,,,PPP4R1,PIP4P1,,GUF1,,PON2,,,,,,,RMND5A,,,,HSBP1,,,,HMGN5,,CST7,,,,,SMARCE1,,PRDX4,,,,STOM,,,RHBDF2,,RNF14,,,KAT2B,,PTK2B,,,
PPP1CB,RHEB,GPM6A,,,,,ENOX2,,,RAB5IF,,POLR3GL,RAB8A,GGA3,,RAP1A,PYGB,,RBM48,,,,,,,PSME3,,,,,,PRKAR1B,,,,,,,,PTP4A2,PSMA6,PLA2G6,,GATAD2B,,,,,,,,,,,,YY1AP1,,,,,,,,PPP1R11,,,,,,,POF1B,,,,,,,,DHRS12,,GSTM4,,PANK3,,,ZNF652,PSME4,PDGFRB,PDZD8,PTPRJ,PPP6C,UBXN6,GCHFR,,RAD23A,PTMAP5,,,,PAPPA,PUS10,,RHOC,,PRUNE1,,,,,PDLIM7,,,,PIF1,,,HBM,GAR1,,,GPX4,RAB32,ZNF91,PI4KA,,,PPP6R1,PIP4P2,,GULP1,,POU2F2,,,,,,,RN7SL1,,,,HSD17B11,,,,HMGXB4,,CSTA,,,,,SMC3,,PREX1,,,,STRADB,,,RHEB,,RNF145,,,KAT6A,,PTMAP2,,,
PPP1R12A,RHOA,GPN2,,,,,ENPP3,,,RAB7A,,POLR3K,RAB8B,GGCT,,RAP1B,PYGL,,RBMS1,,,,,,,PSTPIP2,,,,,,PRKAR2B,,,,,,,,PTPN12,PSMD9,PLAC8,,GATB,,,,,,,,,,,,ZBTB44,,,,,,,,PPP1R16B,,,,,,,POGLUT1,,,,,,,,DHRS13,,GSTO1,,PAPPA,,,ZNF688,PSTPIP2,PDIA4,PDZK1IP1,PTTG1,PPP6R1,UCP2,GCLC,,RAD23B,PTP4A2,,,,PAQR3,PVT1,,RHOF,,PSD4,,,,,PDS5B,,,,PIGBOS1,,,HBQ1,GAREM2,,,GRAMD1B,RAB33B,ZNFX1,PICALM,,,PPT1,PIP5K1C,,GUSB,,POU5F2,,,,,,,RNASE6,,,,HSD17B4,,,,HMOX1,,CSTF1,,,,,SMC4,,PRF1,,,,STRAP,,,RHOA,,RNF149,,,KAT7,,PTMAP5,,,
PPP1R12C,RHOB,GPR18,,,,,ENPP4,,,RAB8A,,PON2,RABEP1,GGCX,,RAP1GDS1,PYHIN1,,RBMS3,,,,,,,PTBP3,,,,,,PRKCA,,,,,,,,PTPN18,PSME3,PLBD1,,GATM,,,,,,,,,,,,ZDHHC12,,,,,,,,PPP1R35,,,,,,,POLE3,,,,,,,,DHRS3,,GTDC1,,PAQR3,,,ZNF778,PTBP3,PDIA6,PEA15,PTTG1IP,PRDM1,UFD1,GCN1,,RALB,PTPN12,,,,PAQR4,PXK,,RHOG,,PSMA2,,,,,PDXK,,,,PIGR,,,HCAR3,GAS7,,,GRAMD4,RAB4A,ZWINT,PIGN,,,PRCD,PITHD1,,GUSBP1,,PPBP,,,,,,,RNASET2,,,,HSDL1,,,,HNRNPA1,,CSTF2,,,,,SMC6,,PRKAA1,,,,STRN4,,,RHOB,,RNF168,,,KAT8,,PTP4A2,,,
PPP1R16B,RHOBTB1,GPR183,,,,,ENPP5,,,RAB8B,,POR,RABGAP1L,GGH,,RAP2B,QKI,,RBMX,,,,,,,PTCRA,,,,,,PRKCB,,,,,,,,PTPN4,PSTPIP2,PLBD2,,GBF1,,,,,,,,,,,,ZEB1,,,,,,,,PPP1R3E,,,,,,,POLE4,,,,,,,,DHRS4,,GTF2A1,,PARP1,,,ZNF91,PTCRA,PDK4,PEAK1,PVT1,PRDM2,UHMK1,GCOM1,,RAMP2,PTPN18,,,,PARP1,PXN,,RHOT2,,PSMA6,,,,,PDZD2,,,,PIK3AP1,,,HCFC1,GATA1,,,GRAP,RAB7A,,PIGR,,,PRCP,PITPNA,,GVINP1,,PPDPF,,,,,,,RNF10,,,,HSDL2,,,,HNRNPA1L2,,CSTF2T,,,,,SMCHD1,,PRKAB2,,,,STX12,,,RHOBTB3,,RNF170,,,KATNAL2,,PTPN12,,,
PPP1R35,RHOBTB3,GPR27,,,,,ENPP6,,,RABEP1,,PPBP,RAC1P2,GGPS1,,RAP2C,R3HDM1,,RBP4,,,,,,,PTGER4,,,,,,PRKCD,,,,,,,,PTPN6,PTBP3,PLCB2,,GBP1,,,,,,,,,,,,ZEB2,,,,,,,,PPP1R9B,,,,,,,POLG,,,,,,,,DHRS7,,GTF2B,,PARP14,,,ZNFX1,PTENP1,PDLIM1,PECAM1,PXMP4,PREX1,UHRF2,GCSAM,,RANBP1,PTPN4,,,,PARP14,PYCR2,,RIC3,,PSMB10,,,,,PDZD8,,,,PIK3C2A,,,HCFC2,GATA2,,,GRAP2,RAB8A,,PIGX,,,PRDX4,PITPNM1,,GYPC,,PPFIBP1,,,,,,,RNF11,,,,HSH2D,,,,HNRNPA3P6,,CTBP2,,,,,SMCO4,,PRKACA,,,,STX2,,,RHOC,,RNF181,,,KBTBD2,,PTPN18,,,
PPP1R3E,RHOC,GPR65,,,,,ENTPD1,,,RABGAP1L,,PPDPF,RAC2,GIGYF1,,RAPGEF1,R3HDM4,,RBP7,,,,,,,PTGES3L,,,,,,PRKCH,,,,,,,,PTPRA,PTCRA,PLCG1,,GBP2,,,,,,,,,,,,ZFAND2A,,,,,,,,PPP2R3A,,,,,,,POLG2,,,,,,,,DHRS7B,,GTF2F2,,PARP4,,,ZNRF2,PTGER4,PDLIM7,PELP1,PXN,PRF1,UIMC1,GCSAML,,RAP1A,PTPN6,,,,PARP15,PYGL,,RILPL2,,PSMD9,,,,,PEA15,,,,PIK3C3,,,HCG11,GATAD2B,,,GRB10,RAB8B,,PIK3AP1,,,PRDX5,PJA2,,GYS1,,PPIAP22,,,,,,,RNF145,,,,HSP90B1,,,,HNRNPC,,CTBS,,,,,SMG1,,PRKACB,,,,STX5,,,RHOT2,,RNF182,,,KCMF1,,PTPN6,,,
PPP1R9A,RHOG,GPR89B,,,,,ENTPD4,,,RABGGTB,,PPFIBP1,RACGAP1,GIGYF2,,RAPGEF2,RAB10,,RBX1,,,,,,,PTGIR,,,,,,PRKD2,,,,,,,,PTPRC,PTGDR,PLCG2,,GBP3,,,,,,,,,,,,ZFAND2B,,,,,,,,PPP2R5A,,,,,,,POLR2A,,,,,,,,DHTKD1,,GTF2H2C,,PARP8,,,,PTGES3L,PDS5B,PF4,PYCR2,PRKAA1,UPF2,GDAP2,,RAP1B,PTPRA,,,,PARP4,QKI,,RIMKLB,,PSME4,,,,,PEAK1,,,,PIK3CA,,,HCK,GATC,,,GRB14,RABEP1,,PIK3C2B,,,PREX1,PKN1,,GZMA,,PPIP5K2,,,,,,,RNF149,,,,HSPA6,,,,HNRNPDL,,CTC1,,,,,SMIM1,,PRKAR1B,,,,STX7,,,RIMKLB,,RNF20,,,KCNAB2,,PTPRB,,,
PPP1R9B,RHOT2,GPRIN3,,,,,ENTPD5,,,RAC2,,PPIAP22,RAD23A,GIHCG,,RARA,RAB11A,,RC3H2,,,,,,,PTGS1,,,,,,PRKD3,,,,,,,,PTPRE,PTGER2,PLCL2,,GBP4,,,,,,,,,,,,ZFAND3,,,,,,,,PPP2R5C,,,,,,,POLR2B,,,,,,,,DHX33,,GTF2H3,,PARVB,,,,PTGIR,PDXK,PF4V1,PYGL,PRKACA,UPF3A,GDF7,,RAPGEF1,PTPRC,,,,PAX5,QTRT1,,RIN3,,PSTPIP2,,,,,PEBP1,,,,PIK3CD,,,HCLS1,GATM,,,GRB2,RABGAP1,,PIK3C3,,,PREX2,PKP1,,GZMB,,PPM1A,,,,,,,RNF168,,,,HTN3,,,,HNRNPUL1,,CTDNEP1,,,,,SMIM14,,PRKAR2B,,,,STXBP2,,,RIN3,,RNF216,,,KCNE3,,PTPRC,,,
PPP2R5A,RHOU,GPS2,,,,,ENTPD6,,,RAD17,,PPIH,RAD23B,GIMAP1,,RARRES1,RAB11FIP1,,RCAN1,,,,,,,PTK2,,,,,,PRKDC,,,,,,,,PTPRF,PTGER4,PLEC,,GBP5,,,,,,,,,,,,ZFAS1,,,,,,,,PPP3CC,,,,,,,POLR2G,,,,,,,,DHX34,,GTF2H5,,PATL2,,,,PTGS1,PDXP,PFKFB3,PYHIN1,PRKACB,UROD,GDI1,,RAPGEF6,PTPRF,,,,PAXX,R3HDM1,,RIOK3,,PTAR1,,,,,PELP1,,,,PIK3CG,,,HCST,GBF1,,,GRIN2B,RABGAP1L,,PIK3CD,,,PRF1,PKP2,,GZMH,,PPM1F,,,,,,,RNF181,,,,HTR4,,,,HOMER2,,CTDP1,,,,,SMIM15,,PRKCB,,,,STXBP5,,,RIOK3,,RNF216P1,,,KCNK6,,PTPRF,,,
PPP3R1,RIC3,GPT2,,,,,EOMES,,,RAD23A,,PPL,RAD50,GIMAP2,,RASA3,RAB11FIP4,,RCAN3,,,,,,,PTK2B,,,,,,PRKG1,,,,,,,,PTTG1,PTGES3L,PLEK,,GCA,,,,,,,,,,,,ZMIZ1,,,,,,,,PPP3R1,,,,,,,POLR3F,,,,,,,,DHX38,,GTF2I,,PAWR,,,,PTK2,PDZD8,PFKL,PYY,PRKAR1B,USH1C,GDPD5,,RARRES1,PTPRJ,,,,PBK,RAB10,,RIPOR1,,PTBP3,,,,,PERP,,,,PIK3IP1,,,HDAC2,GBP1,,,GRIPAP1,RABGEF1,,PIK3CG,,,PRICKLE2,PKP4,,GZMM,,PPM1L,,,,,,,RNF20,,,,HTRA2,,,,HOOK2,,CTDSPL2,,,,,SMIM24,,PRKCD,,,,STYX,,,RIPK2,,RNF24,,,KCNMA1,,PTPRJ,,,
PPP6R1,RIC8A,GPX4,,,,,EP300,,,RAD23B,,PPM1A,RAD54L2,GIMAP4,,RASGRP2,RAB24,,RCC2,,,,,,,PTMAP2,,,,,,PRMT2,,,,,,,,PTTG1IP,PTGIR,PLEKHA2,,GCC1,,,,,,,,,,,,ZMYM4,,,,,,,,PPP6C,,,,,,,POLR3GL,,,,,,,,DHX40,,GTF2IP12,,PAX5,,,,PTK2B,PEA15,PFN1,QKI,PRKAR2B,USP12,GFI1B,,RASA1,PTPRT,,,,PBXIP1,RAB11A,,RIPOR2,,PTCRA,,,,,PF4,,,,PIK3R5,,,HDAC4,GBP2,,,GRK2,RABGGTB,,PIK3IP1,,,PRKAA1,PLA2R1,,HACD2,,PPM1M,,,,,,,RNF24,,,,HTT,,,,HOPX,,CTH,,,,,SMIM29,,PRKCH,,,,SUCNR1,,,RIPOR2,,RNF34,,,KCNQ1,,PTRH1,,,
PRAM1,RILPL2,GRAMD4,,,,,EP400,,,RAD50,,PPM1F,RAF1,GIMAP6,,RASGRP3,RAB27B,,RCN2,,,,,,,PTMAP5,,,,,,PRNP,,,,,,,,PVT1,PTGS1,PLEKHA8P1,,GCC2,,,,,,,,,,,,ZNF106,,,,,,,,PPP6R1,,,,,,,PON2,,,,,,,,DHX57,,GTF2IRD2B,,PAXX,,,,PTMAP2,PEAK1,PGAM1,QPCT,PRKCB,USP15,GFPT1,,RASA3,PTTG1,,,,PCBP1,RAB11FIP1,,RIPOR3,,PTGDR,,,,,PFKL,,,,PIKFYVE,,,HDAC8,GBP4,,,GRK3,RAC1P2,,PIKFYVE,,,PRKACA,PLAC8,,HACD4,,PPP1CB,,,,,,,RNF40,,,,HVCN1,,,,HPCAL1,,CTHRC1,,,,,SMIM5,,PRKD2,,,,SUCO,,,RIPOR3,,RNF41,,,KCTD10,,PTTG1,,,
PRDM2,RIN3,GRAP,,,,,EPAS1,,,RAD51AP1,,PPP1CB,RALB,GIMAP7,,RASGRP4,RAB28,,RCSD1,,,,,,,PTP4A2,,,,,,PROK2,,,,,,,,PXN,PTK2,PLEKHB2,,GCLC,,,,,,,,,,,,ZNF185,,,,,,,,PRDM2,,,,,,,PPBP,,,,,,,,DHX8,,GTF3A,,PBXIP1,,,,PTMAP5,PEAR1,PGD,QTRT1,PRKCD,USP24,GGA1,,RASEF,PTTG1IP,,,,PCBP2,RAB11FIP2,,RIT1,,PTGER4,,,,,PFN1,,,,PIM1,,,HDAC9,GBP5,,,GRK5,RAC2,,PIM1,,,PRKACB,PLAGL2,,HACE1,,PPP1R12C,,,,,,,RNF44,,,,ICAM2,,,,HPGD,,CTLA4,,,,,SMIM7,,PRKD3,,,,SUFU,,,RMND5A,,RNMT,,,KCTD12,,PTTG1IP,,,
PRDX4,RIOK3,GRAP2,,,,,EPB41,,,RAD9A,,PPP1R12A,RALGPS1,GIMAP8,,RASSF1,RAB2B,,RDH11,,,,,,,PTPN12,,,,,,PROM1,,,,,,,,PYCR2,PTK2B,PLEKHJ1,,GCN1,,,,,,,,,,,,ZNF217,,,,,,,,PRDX4,,,,,,,PPDPF,,,,,,,,DIAPH1,,GTF3C2,,PCBP1,,,,PTP4A2,PELP1,PGK1,R3HDM1,PRKCH,UTRN,GGA2,,RASGRP2,PXMP4,,,,PCDH1,RAB11FIP4,,RMND5A,,PTGES3L,,,,,PGAM1,,,,PIM3,,,HDDC2,GCA,,,GRK6,RAD23A,,PIN1,,,PRKCB,PLBD1,,HACL1,,PPP1R16B,,,,,,,RNMT,,,,ICAM3,,,,HPS1,,CTNNA1,,,,,SMOX,,PRKDC,,,,SULT1A1,,,RN7SKP255,,RNPC3,,,KCTD13,,PVT1,,,
PREPL,RIPOR2,GRB2,,,,,EPB41L1,,,RALB,,PPP1R12C,RALGPS2,GINS2,,RASSF2,RAB30,,RERE,,,,,,,PTPN18,,,,,,PROS1,,,,,,,,PYGL,PTMAP2,PLEKHO1,,GCNT2,,,,,,,,,,,,ZNF280D,,,,,,,,PREX1,,,,,,,PPHLN1,,,,,,,,DIAPH2,,GTF3C6,,PCCB,,,,PTPN12,PERP,PGLYRP1,R3HDM4,PRKD2,UXS1,GGA3,,RASSF1,PXN,,,,PCGF5,RAB27A,,RN7SL1,,PTGIR,,,,,PGAP2,,,,PIP,,,HDHD5,GCC1,,,GRN,RAD23B,,PIP,,,PRKCH,PLCB2,,HAUS3,,PPP1R35,,,,,,,RNPC3,,,,ICE1,,,,HPS3,,CTNNAL1,,,,,SMYD4,,PRKX,,,,SUMF2,,,RN7SL1,,RNPEPL1,,,KCTD2,,PXN,,,
PREX1,RIT1,GREM1,,,,,EPB41L2,,,RALGPS2,,PPP1R16B,RALY,GIPC1,,RASSF3,RAB31,,RESF1,,,,,,,PTPN6,,,,,,PRPSAP1,,,,,,,,QKI,PTMAP5,PLEKHO2,,GCOM1,,,,,,,,,,,,ZNF428,,,,,,,,PRF1,,,,,,,PPIAP22,,,,,,,,DIDO1,,GTPBP1,,PCDH1,,,,PTPN13,PEX6,PGP,RAB11A,PRKD3,UXT,GGCT,,RASSF2,PYCARD,,,,PCLAF,RAB27B,,RNASEK,,PTGS1,,,,,PGD,,,,PIP4K2A,,,HEATR5B,GCC2,,,GRPEL1,RAD54L2,,PIP4K2A,,,PRKD2,PLCG1,,HBB,,PPP1R3E,,,,,,,RNPEPL1,,,,ICMT,,,,HRG,,CTNNBIP1,,,,,SNAP23,,PRMT2,,,,SUMO3,,,RNASE6,,ROCK1,,,KCTD20,,PYCR2,,,
PRF1,RLIM,GRINA,,,,,EPB41L3,,,RALY,,PPP1R35,RAMAC,GIPR,,RASSF4,RAB32,,RETN,,,,,,,PTPRC,,,,,,PRPSAP2,,,,,,,,QPCT,PTP4A2,PLOD3,,GDAP2,,,,,,,,,,,,ZNF542P,,,,,,,,PRKAA1,,,,,,,PPM1A,,,,,,,,DIMT1,,GTPBP10,,PCDH10,,,,PTPN18,PF4,PGRMC2,RAB11FIP1,PRKDC,VAMP5,GGCX,,RASSF3,PYCR2,,,,PCLO,RAB2B,,RNF10,,PTK2,,,,,PGP,,,,PIP4P1,,,HEBP1,GCH1,,,GRSF1,RALB,,PIP4P1,,,PRKD3,PLCG2,,HBD,,PPP1R9A,,,,,,,RNU6ATAC,,,,ID2,,,,HRH2,,CTNNBL1,,,,,SNCA,,PRNP,,,,SUPT4H1,,,RNASET2,,ROCK2,,,KCTD6,,PYGB,,,
PRKAA1,RMND5A,GRIPAP1,,,,,EPB41L4B,,,RAMP2,,PPP1R3D,RAMP3,GIT1,,RASSF5,RAB34,,RETREG3,,,,,,,PTPRJ,,,,,,PRR12,,,,,,,,QRICH1,PTPN12,PLP2,,GDI1,,,,,,,,,,,,ZNF609,,,,,,,,PRKAB2,,,,,,,PPM1D,,,,,,,,DIO1,,GTPBP2,,PCGF5,,,,PTPN6,PF4V1,PGS1,RAB11FIP2,PRMT2,VASP,GGH,,RASSF5,PYGB,,,,PCMTD1,RAB31,,RNF103,,PTK2B,,,,,PGRMC1,,,,PIP5K1C,,,HECA,GCHFR,,,GSDMC,RAMP2,,PIP5K1C,,,PRKDC,PLCL2,,HBEGF,,PPP1R9B,,,,,,,ROCK1,,,,IDE,,,,HS1BP3,,CTNND1,,,,,SND1,,PROK2,,,,SUZ12P1,,,RNF10,,RP9P,,,KCTD7,,PYGL,,,
PRKAB2,RMND5B,GRK2,,,,,EPB41L5,,,RAMP3,,PPP1R3E,RAN,GIT2,,RBBP6,RAB38,,REXO2,,,,,,,PTPRT,,,,,,PRR13,,,,,,,,R3HDM1,PTPN18,PLPP1,,GDPD5,,,,,,,,,,,,ZNF652,,,,,,,,PRKACA,,,,,,,PPM1F,,,,,,,,DIP2A,,GTPBP4,,PCLAF,,,,PTPRA,PFKL,PHACTR2,RAB13,PRPF18,VCL,GGPS1,,RB1CC1,QKI,,,,PCNX4,RAB32,,RNF11,,PTMAP2,,,,,PGRMC2,,,,PITPNA,,,HECTD3,GCN1,,,GSE1,RANBP1,,PITPNA,,,PRKX,PLEC,,HBP1,,PPP2R5A,,,,,,,ROCK2,,,,IDH3A,,,,HS2ST1,,CTNND2,,,,,SNHG16,,PRPF38A,,,,SVBP,,,RNF103,,RPA3,,,KCTD9,,QKI,,,
PRKACA,RN7SL1,GRK3,,,,,EPB42,,,RANBP10,,PPP1R9B,RANBP10,GJA5,,RBFA,RAB3D,,RFLNB,,,,,,,PTTG1,,,,,,PRRG4,,,,,,,,R3HDM4,PTPN6,PML,,GEMIN7,,,,,,,,,,,,ZNF664,,,,,,,,PRKACB,,,,,,,PPM1L,,,,,,,,DIP2B,,GTPBP8,,PCLO,,,,PTPRC,PFN1,PHB2,RAB21,PRPF4,VDAC3,GHDC,,RBBP6,QSER1,,,,PCP4,RAB3D,,RNF14,,PTMAP5,,,,,PGS1,,,,PITPNB,,,HECTD4,GCOM1,,,GSKIP,RANBP10,,PITPNM1,,,PRNP,PLEK,,HBQ1,,PPP2R5C,,,,,,,ROGDI,,,,IDNK,,,,HS3ST1,,CTNS,,,,,SNHG17,,PRPSAP2,,,,SVIL,,,RNF11,,RPGR,,,KDELR1,,QPCT,,,
PRKACB,RNASE6,GRK4,,,,,EPC2,,,RANBP3,,PPP2CB,RANBP3,GK,,RBFOX2,RAB7A,,RFTN1,,,,,,,PTTG1IP,,,,,,PRTFDC1,,,,,,,,RAB10,PTPRA,PNKP,,GEMIN8,,,,,,,,,,,,ZNF688,,,,,,,,PRKAR1B,,,,,,,PPP1CB,,,,,,,,DIPK1A,,GTSE1,,PCMT1,,,,PTPRJ,PGAM1,PHC2,RAB27A,PRPSAP1,VEGFA,GID4,,RBFA,R3HDM1,,,,PCSK1N,RAB3GAP1,,RNF145,,PTP4A2,,,,,PHACTR2,,,,PITPNM1,,,HECW2,GCSAML,,,GSS,RAP1A,,PITPNM3,,,PROK2,PLEKHA2,,HCFC1,,PPP3CC,,,,,,,RP1,,,,IFFO1,,,,HSBP1,,CTPS1,,,,,SNHG20,,PRR13,,,,SWAP70,,,RNF113A,,RPIA,,,KDELR2,,R3HDM1,,,
PRKAR2B,RNASEK,GRK6,,,,,EPDR1,,,RANGRF,,PPP3R1,RANGRF,GKAP1,,RBL2,RAB8A,,RGCC,,,,,,,PXN,,,,,,PRUNE1,,,,,,,,RAB11A,PTPRC,PNMA1,,GET4,,,,,,,,,,,,ZNF778,,,,,,,,PRKAR2B,,,,,,,PPP1R12A,,,,,,,,DIPK1B,,GUCD1,,PCMTD1,,,,PTTG1,PGAP1,PHF2,RAB27B,PRR5,VIL1,GIGYF1,,RBL2,R3HDM4,,,,PCSK2,RAB40B,,RNF149,,PTPN12,,,,,PHACTR4,,,,PITPNM3,,,HEIH,GDAP1,,,GSTM3,RAP1B,,PITX2,,,PRR12,PLEKHB1,,HCFC1R1,,PPP3R1,,,,,,,RPA1,,,,IFI16,,,,HSD17B4,,CTRC,,,,,SNHG29,,PRR14L,,,,SWI5,,,RNF130,,RPL10AP6,,,KDM1A,,RAB10,,,
PRKCB,RNF10,GRN,,,,,EPHB4,,,RAP1A,,PPP4R1,RAP1A,GLA,,RBM14,RAB8B,,RGN,,,,,,,PYCR2,,,,,,PSD4,,,,,,,,RAB11FIP1,PTPRF,PNPLA8,,GFI1B,,,,,,,,,,,,ZNF91,,,,,,,,PRKCA,,,,,,,PPP1R12C,,,,,,,,DIPK2A,,GUCY1A1,,PCNP,,,,PTTG1IP,PGAP2,PHF20,RAB2B,PRR5L,VKORC1,GIGYF2,,RBM23,RAB10,,,,PCSK7,RAB5IF,,RNF167,,PTPN13,,,,,PHB2,,,,PJA2,,,HELLPAR,GDAP2,,,GSTM4,RAP1GAP2,,PJA2,,,PRR13,PLEKHB2,,HCK,,PPP4R1,,,,,,,RPA3,,,,IFI35,,,,HSDL2,,CTSA,,,,,SNHG6,,PRRG1,,,,SYAP1,,,RNF139,,RPL12P4,,,KDM1B,,RAB11A,,,
PRKCD,RNF103,GSDMB,,,,,EPHX2,,,RAP1B,,PPP6R1,RAP1B,GLB1L,,RBM23,RABEP1,,RGS18,,,,,,,PYGL,,,,,,PSIP1,,,,,,,,RAB11FIP4,PTPRJ,PNRC2,,GFOD1,,,,,,,,,,,,ZNFX1,,,,,,,,PRKCB,,,,,,,PPP1R16B,,,,,,,,DIPK2B,,GUF1,,PCNT,,,,PVT1,PGD,PHF21A,RAB31,PRSS30P,VKORC1L1,GIMAP1,,RBM33,RAB11A,,,,PCYT1A,RAB7A,,RNF170,,PTPN18,,,,,PHC1,,,,PKHD1L1,,,HELLS,GDI1,,,GSTO1,RAP2B,,PKHD1L1,,,PRR14L,PLEKHG3,,HCLS1,,PPP6R1,,,,,,,RPL10AP6,,,,IFI44L,,,,HSF1,,CTSC,,,,,SNHG7,,PRRG4,,,,SYF2,,,RNF14,,RPL13AP5,,,KDM2A,,RAB11FIP1,,,
PRKCH,RNF11,GSE1,,,,,EPM2A,,,RAP1GAP2,,PPT1,RAP1GAP2,GLDN,,RBM33,RABGAP1,,RGS19,,,,,,,PYHIN1,,,,,,PSMA2,,,,,,,,RAB21,PTTG1,POF1B,,GFPT1,,,,,,,,,,,,,,,,,,,,PRKCD,,,,,,,PPP1R35,,,,,,,,DIRAS1,,GUSB,,PCNX4,,,,PXMP4,PGK1,PHKB,RAB32,PRTFDC1,VNN2,GIMAP4,,RBM38,RAB11FIP1,,,,PDCD4,RAB8A,,RNF181,,PTPN6,,,,,PHF2,,,,PKN1,,,HELQ,GDPD1,,,GSTP1,RAP2C,,PKN1,,,PRR7,PLEKHJ1,,HCST,,PPT1,,,,,,,RPL10P16,,,,IFI6,,,,HSF2,,CTSD,,,,,SNRPA1,,PRTFDC1,,,,SYK,,,RNF145,,RPL13P12,,,KDM3A,,RAB11FIP4,,,
PRKD2,RNF144B,GSR,,,,,EPM2AIP1,,,RAP2B,,PRAM1,RAP2A,GLE1,,RBM38,RABGAP1L,,RHAG,,,,,,,QKI,,,,,,PSMA6,,,,,,,,RAB24,PTTG1IP,POGLUT1,,GFRA2,,,,,,,,,,,,,,,,,,,,PRKCH,,,,,,,PPP1R3E,,,,,,,,DIS3,,GVINP1,,PCP2,,,,PXN,PGP,PHTF2,RAB3D,PRUNE1,VOPP1,GIMAP6,,RBM4,RAB11FIP2,,,,PDE4D,RAB8B,,RNF20,,PTPRA,,,,,PHF20L1,,,,PKP1,,,HELZ,GDPD5,,,GSTZ1,RAPGEF1,,PKNOX1,,,PRRG1,PLEKHM1P1,,HDAC2,,PRAM1,,,,,,,RPL12P4,,,,IFIH1,,,,HSPA12A,,CTSE,,,,,SNRPN,,PRUNE1,,,,SYNE1,,,RNF149,,RPL14P1,,,KDM3B,,RAB27A,,,
